كلمة, PFA,الفئة
انتقام,0.864,غضب
انتقامي,0.864,غضب
فيسانيا,0.698,غضب
فيسانيك,0.665,غضب
الذم,0.529,غضب
الذم,0.496,غضب
خل,0.165,غضب
عنف,0.932,غضب
عنيف,0.932,غضب
اعوج,0.132,غضب
افتراء,0.264,غضب
شره,0.231,غضب
جرح,0.396,غضب
بغيضة,0.797,خوف
حادث,0.696,خوف
أرعب,0.865,خوف
الوعي الذاتي,0.597,خوف
تتويج,0.598,خوف
عناق,0.831,خوف
فأل,0.297,خوف
قد بعيدا,0.696,خوف
إنذار,0.596,خوف
منزعج,0.695,خوف
مقلق,0.595,خوف
إنذار,0.63,خوف
إنذار,0.53,خوف
الروح,0.066,خوف
أدخل,0.898,خوف
مخيف,0.831,خوف
التخويف,0.831,خوف
ليهدد,0.865,خوف
يزعج,0.831,خوف
معاناة,0.797,خوف
محزن,0.831,خوف
مؤلم,0.831,خوف
قلق,0.264,خوف
تخوف,0.397,خوف
متخوف,0.364,خوف
العنكبوت ,0.463,خوف
أرعب,0.463,خوف
قتل,0.73,خوف
مخيف,0.864,خوف
أرعب,0.864,خوف
خائف,0.932,خوف
مخيف,0.932,خوف
أرعب,0.932,خوف
منتبهة,0.099,خوف
مذعور,0.966,خوف
مخيف,1,خوف
بشكل مرعب,1,خوف
مرعب,1,خوف
مرعب,0.966,خوف
أرعب,0.966,خوف
فظيع,0.696,خوف
بالخجل,0.297,خوف
يحرج,0.33,خوف
مشاكل مالية,0.529,خوف
يحرج,0.696,خوف
الهمجية,0.463,خوف
ساحرة,0.495,خوف
ساحر,0.495,خوف
جثة,0.697,خوف
كالاكا,0.462,خوف
مصيبة,0.396,خوف
كارثي,0.363,خوف
قشعريرة,0.463,خوف
الوعي الذاتي,0.463,خوف
بوعي ذاتي,0.43,خوف
تعيق,0.496,خوف
مشوش,0.099,خوف
تحذير,0.529,خوف
تشنج,0.33,خوف
يقطع,0.297,خوف
قصر,0.165,خوف
دموي,0.33,خوف
شيطان,0.63,خوف
يائس,0.33,خوف
يتعثر,0.364,خوف
إغماء,0.43,خوف
مصيبة,0.629,خوف
اغمى عليه,0.363,خوف
مرتبك,0.132,خوف
مرعب,0.864,خوف
مخيف,0.831,خوف
زغب,0.696,خوف
بلا رحمة,0.663,خوف
قاس,0.663,خوف
الشيطان,0.664,خوف
إنكمش,0.399,خوف
بارد,0.066,خوف
قشعريرة,0.73,خوف
مخيف,0.831,خوف
مخيف,0.899,خوف
اخافة,0.899,خوف
الرعب,0.899,خوف
مخيف,0.899,خوف
مخيف,0.932,خوف
شبح,0.932,خوف
شىء متنافر,0.529,خوف
روح,0.231,خوف
هزة,0.628,خوف
مروع,0.429,خوف
طرد الارواح الشريرة,0.629,خوف
شبح,0.596,خوف
قبح,0.396,خوف
البشع,0.297,خوف
رهاب,0.932,خوف
البرد,0.099,خوف
حار,0.099,خوف
دجاج,0.265,خوف
تهجئه,0.297,خوف
بوظة,0.099,خوف
تجميد,0.033,خوف
هستيريا,0.562,خوف
بشكل هستيري,0.496,خوف
هستيري,0.497,خوف
هستيريا,0.463,خوف
بشكل مروع,0.731,خوف
مروع,0.764,خوف
رهيب,0.83,خوف
بشعة,0.83,خوف
بشع,0.731,خوف
يرعب,0.798,خوف
مروعة,0.798,خوف
مرعب,0.831,خوف
يرعب,0.798,خوف
بشع,0.663,خوف
رعب,0.966,خوف
مذعور,0.898,خوف
مرعب,0.898,خوف
يرعب,0.898,خوف
بشكل مخيف,0.831,خوف
مرعب,0.865,خوف
صعبة المنال,0.764,خوف
ضعيف,0.396,خوف
ريبة,0.396,خوف
متردد,0.331,خوف
بشكل مخيف,0.496,خوف
إزعاج,0.463,خوف
الأرق,0.364,خوف
حشرة,0.298,خوف
غير آمن,0.331,خوف
التخويف,0.629,خوف
تخويف,0.595,خوف
معقد,0.496,خوف
لسان قصير,0.397,خوف
شرير,0.596,خوف
الشرير,0.764,خوف
سيئة,0.663,خوف
مدران,0.797,خوف
خشية,0.831,خوف
التوتر,0.831,خوف
الخوف,0.932,خوف
الخوف ,0.932,خوف
خشية,0.932,خوف
بشراسة,0.797,خوف
وحشية,0.831,خوف
ثلاجة الموتى,0.764,خوف
وحش,0.797,خوف
الموت,0.865,خوف
ضباب,0.33,خوف
ضباب,0.331,خوف
غيم,0.099,خوف
حذف,0.231,خوف
باهت,0.53,خوف
باهت,0.529,خوف
ذعر,0.898,خوف
البانتيون,0.596,خوف
باهت,0.763,خوف
الرهبة,0.898,خوف
مخيف,0.83,خوف
مروع,0.83,خوف
ألم,0.33,خوف
كآبة,0.496,خوف
ممسوس,0.63,خوف
هاجس,0.33,خوف
الاهتمام,0.529,خوف
بقلق,0.563,خوف
قلق,0.53,خوف
جبان,0.364,خوف
الجبانة,0.364,خوف
فأر,0.231,خوف
اشتباه,0.531,خوف
مشبوه,0.497,خوف
روديور,0.231,خوف
دم,0.396,خوف
دموي,0.496,خوف
متعطش للدماء,0.629,خوف
الشيطان,0.631,خوف
خطف,0.765,خوف
القسوة,0.495,خوف
جفل,0.729,خوف
رهبة,0.729,خوف
صدمة,0.729,خوف
ظل,0.264,خوف
تشويق,0.628,خوف
فزع,0.864,خوف
رعشه,0.562,خوف
الخوف,0.932,خوف
بخوف,0.864,خوف
خشية,0.898,خوف
مخيف,0.932,خوف
الخوف,0.932,خوف
بخوف,0.864,خوف
توتر,0.496,خوف
هزة أرضية,0.631,خوف
رهيب,0.898,خوف
بشكل رهيب,0.796,خوف
الرعب,0.966,خوف
مرعب,0.898,خوف
بخجل,0.596,خوف
الخجل,0.497,خوف
خجول,0.531,خوف
جبان,0.631,خوف
مأساة,0.561,خوف
مرعب,0.731,خوف
هائل,0.564,خوف
الانذار,0.297,خوف
الآخرة,0.663,خوف
فيركونديا,0.264,خوف
فيركونديو,0.264,خوف
فيريكوندو,0.264,خوف
مخجل,0.396,خوف
ذاهب,0.397,خوف
التحقير,0.497,حزن
أسفل ,0.364,حزن
التخلي عن,0.865,حزن
غادر,0.898,حزن
باكتئاب,0.832,حزن
مكتئب,0.865,حزن
كآبة,0.798,حزن
يجلب,0.765,حزن
يحرج,0.264,حزن
طغى ,0.43,حزن
ضجر,0.264,حزن
مصيري,0.563,حزن
نفرك,0.796,حزن
بشكل حاد,0.463,حزن
بلاء,0.562,حزن
يعاني,0.563,حزن
سلبي,0.464,حزن
بلاء,0.764,حزن
بشكل حزين,0.83,حزن
مصاب,0.83,حزن
بلاء,0.796,حزن
ارباك,0.764,حزن
جائرة,0.73,حزن
بأغلبية ساحقة,0.73,حزن
طغى,0.697,حزن
خطأ,0.331,حزن
تحمل,0.364,حزن
كبح,0.198,حزن
لقد غرق,0.463,حزن
crestfallen,0.464,حزن
مخصب,0.497,حزن
الروح,0.165,حزن
مرارة - مر,0.264,حزن
مرارة,0.528,حزن
دوخ,0.697,حزن
معاناة,0.763,حزن
حزين,0.697,حزن
محنة,0.729,حزن
مؤلم,0.763,حزن
إبادة ,0.463,حزن
قطع صغيرة,0.463,حزن
سحق ,0.429,حزن
محنة,0.397,حزن
اشعر بالشفقة,0.464,حزن
تتسطح ,0.166,حزن
تحطيم,0.232,حزن
بلاء,0.497,حزن
بجرأة,0.297,حزن
سحب,0.198,حزن
التوبة,0.462,حزن
يندم,0.462,حزن
يدمر,0.53,حزن
معذب,0.496,حزن
عذاب,0.53,حزن
مشكلة,0.529,حزن
الاستنزاف,0.495,حزن
يحرج,0.297,حزن
منخفض,0.264,حزن
crestfallen,0.898,حزن
crestfallen,0.898,حزن
يسقط,0.528,حزن
سقط,0.462,حزن
قطرة,0.529,حزن
سقط,0.528,حزن
الجمجمة,0.763,حزن
كانكاموريا,0.799,حزن
سجن,0.596,حزن
نقص,0.529,حزن
حمل,0.33,حزن
عقاب,0.595,حزن
شاحب,0.165,حزن
تتعاطف,0.564,حزن
تعاطف,0.63,حزن
حنون,0.63,حزن
ندم,0.464,حزن
للأسف,0.331,حزن
شفقة,0.397,حزن
تعزية,0.796,حزن
عزى,0.796,حزن
مشوش,0.231,حزن
حزن,0.496,حزن
مكسور القلب,0.529,حزن
ذعر,0.595,حزن
ندم,0.429,حزن
حزين,0.663,حزن
نادم,0.63,حزن
أزمة,0.696,حزن
حزن,0.73,حزن
حذر,0.597,حزن
الذنب,0.598,حزن
الذنب,0.631,حزن
مذنب,0.565,حزن
مذنب,0.631,حزن
مذنب,0.631,حزن
مضر,0.562,حزن
تضعف ,0.33,حزن
تسوس,0.729,حزن
أسفل,0.831,حزن
تسوس,0.797,حزن
خيبة الامل,0.898,حزن
يخيب,0.898,حزن
معيب,0.33,حزن
ناقص,0.363,حزن
دع,0.233,حزن
غادر,0.166,حزن
مؤسف,0.563,حزن
للأسف,0.563,حزن
يأسف,0.53,حزن
كآبة,0.898,حزن
مثبط,0.898,حزن
محزن,0.898,حزن
خفض,0.864,حزن
إغلاق,0.563,حزن
اسقاط,0.431,حزن
يهزم,0.764,حزن
سيئ الحظ,0.898,حزن
بشكل محبط,0.797,حزن
تثبط,0.764,حزن
تثبيط,0.797,حزن
طرد,0.496,حزن
صحراء,0.629,حزن
التخلي عن,0.596,حزن
محبط,0.729,حزن
تثبط,0.729,حزن
تثبيط,0.762,حزن
الغاء التحميل ,0.596,حزن
خشنة,0.198,حزن
غير طبيعي,0.232,حزن
القلق,0.165,حزن
تزعج,0.165,حزن
تسوس,0.331,حزن
تتحلل,0.264,حزن
بائس,0.83,حزن
مفجع,0.73,حزن
بائس,0.73,حزن
حزن,0.83,حزن
استياء,0.397,حزن
بخيبة أمل,0.43,حزن
تثبط العزيمة ,0.463,حزن
طرد,0.198,حزن
بؤس,0.83,حزن
تعيس,0.83,حزن
خيبة الأمل,0.663,حزن
اليأس,0.464,حزن
فاقد الامل,0.464,حزن
اليأس,0.698,حزن
اليأس,0.764,حزن
اليأس,0.332,حزن
رفض,0.265,حزن
تثبط,0.264,حزن
يتعثر,0.429,حزن
إغماء,0.429,حزن
خارقة,0.564,حزن
دمعة,0.397,حزن
يستنزف,0.365,حزن
مصيبة,0.83,حزن
عار,0.73,حزن
تم التراجع عنه,0.531,حزن
ينكمش,0.099,حزن
العار,0.429,حزن
صحراء,0.099,حزن
ينكمش ,0.198,حزن
تشويه,0.132,حزن
نحيف,0.165,حزن
تلاشى,0.264,حزن
اغمى عليه,0.132,حزن
اغمى عليه,0.132,حزن
اغمى عليه,0.099,حزن
تحط من قدر,0.165,حزن
الإحباط,0.529,حزن
محبط,0.595,حزن
محبط,0.595,حزن
يحبط,0.562,حزن
تثبيط,0.762,حزن
الخراب,0.762,حزن
مهجور,0.729,حزن
تجريد بعيدا,0.496,حزن
نزع الملكية,0.297,حزن
تحرم,0.264,حزن
عالي التأثر,0.264,حزن
غير محمي,0.363,حزن
متداع,0.33,حزن
تحطيم,0.562,حزن
مصيبة,0.729,حزن
التعساء,0.629,حزن
يدمر,0.764,حزن
لكي تؤلم,0.764,حزن
معاناة,0.832,حزن
ألم,0.832,حزن
تقرح,0.832,حزن
مؤلم,0.866,حزن
مبارزة,0.497,حزن
يرمي,0.099,حزن
إنكمش ,0.264,حزن
إنكويتار,0.232,حزن
يزعج ,0.231,حزن
مرض,0.629,حزن
نحيف,0.563,حزن
حزن,0.797,حزن
طغى,0.697,حزن
حزن,0.899,حزن
حزين,0.932,حزن
الحزن,0.899,حزن
عاقب,0.331,حزن
نقص,0.398,حزن
نادرة,0.365,حزن
طحال,0.466,حزن
تلف,0.165,حزن
يتردد,0.396,حزن
هشاشة,0.363,حزن
الواهية,0.697,حزن
البرد,0.198,حزن
الإحباط,0.396,حزن
جنازة,0.696,حزن
جنائزي,0.662,حزن
جنازة,0.763,حزن
جنازة,0.764,حزن
قاتلة - مهلك,0.497,حزن
جدي,0.463,حزن
اللون الرمادي,0.564,حزن
جوعان,0.331,حزن
يتيم,0.764,حزن
متواضع,0.396,حزن
إذلال,0.496,حزن
غارقة,0.496,حزن
لتغرق,0.464,حزن
مكتب المدير,0.299,حزن
غير تام,0.231,حزن
ضعف جنسى,0.53,حزن
ضعيف,0.464,حزن
غير راض,0.33,حزن
الخلاف,0.264,حزن
لا عزاء له,0.732,حزن
معوز,0.398,حزن
سيئ الحظ,0.53,حزن
تصيب,0.297,حزن
العقم,0.597,حزن
التعاسة,0.898,حزن
تعيس,0.966,حزن
خفض,0.264,حزن
مؤسف,0.73,حزن
مصيبة,0.729,حزن
يسكنها,0.33,حزن
ظلم,0.496,حزن
عديم الاخلاق,0.464,حزن
حقير,0.463,حزن
الأرق,0.231,حزن
عدم الرضا,0.297,حزن
غير راض,0.331,حزن
ممزق,0.529,حزن
لاسيريا,0.463,حزن
دامعة,0.63,حزن
دمعة,0.763,حزن
دمعة,0.763,حزن
دموع,0.763,حزن
ماء,0.762,حزن
دامعة,0.662,حزن
ليدو,0.53,حزن
مؤسف,0.629,حزن
لسوء الحظ,0.597,حزن
ليندم,0.729,حزن
رثاء,0.729,حزن
آسف,0.729,حزن
بضعف,0.496,حزن
ضعيف,0.496,حزن
طويل,0.066,حزن
شفقة,0.73,حزن
يرثى لها,0.696,حزن
حزين,0.73,حزن
يرثى لها,0.763,حزن
بكاء,0.865,حزن
يبكي,0.865,حزن
البكاء,0.763,حزن
دامعة,0.797,حزن
بشكل كئيب,0.463,حزن
كئيب,0.464,حزن
للأسف,0.83,حزن
حزين,0.898,حزن
حدادي,0.865,حزن
حدادي,0.865,حزن
حداد,0.932,حزن
حداد,0.932,حزن
مروع,0.199,حزن
خطأ,0.431,حزن
مالاندانت,0.363,حزن
مشؤوم,0.63,حزن
ساخط,0.563,حزن
ملعون,0.264,حزن
تعيس,0.529,حزن
نكد,0.297,حزن
سيئة,0.265,حزن
ضرب,0.33,حزن
حزن,0.865,حزن
بشكل كئيب,0.865,حزن
حزين,0.865,حزن
محتاج,0.462,حزن
جزر,0.099,حزن
ببخل,0.231,حزن
خسة,0.231,حزن
تعيس,0.628,حزن
بائسة,0.661,حزن
بائسة,0.596,حزن
بؤس,0.596,حزن
بائس,0.562,حزن
بائسة,0.463,حزن
يزعج,0.132,حزن
الحنين للوطن,0.532,حزن
الموت,0.865,حزن
ميت,0.731,حزن
متجهم,0.298,حزن
ذابل,0.365,حزن
محتاج,0.497,حزن
كارثي,0.33,حزن
أسود,0.198,حزن
ليل,0.033,حزن
حنين,0.831,حزن
الظلام,0.265,حزن
داكن,0.265,حزن
بشق الأنفس,0.165,حزن
العتامة,0.264,حزن
القهر,0.264,حزن
بشكل قمعي,0.396,حزن
جائرة,0.363,حزن
جائرة,0.396,حزن
صحافة,0.198,حزن
بحزن,0.033,حزن
أغمق,0.066,حزن
الظلام,0.099,حزن
داكن,0.066,حزن
يعاني,0.429,حزن
معاناة,0.429,حزن
البانتيون,0.563,حزن
تغادر,0.596,حزن
مثير للشفقة,0.165,حزن
سيئة للغاية,0.232,حزن
فقير جدا,0.232,حزن
ألم,0.695,حزن
ضربة جزاء,0.331,حزن
يتحسر,0.628,حزن
الكفارة,0.496,حزن
تائب,0.496,حزن
مؤلم,0.396,حزن
مؤلم,0.363,حزن
كآبة,0.364,حزن
لتخسر,0.629,حزن
ضائع,0.864,حزن
مطاردة,0.231,حزن
المنحرف,0.132,حزن
حزن,0.496,حزن
لوزن,0.562,حزن
نادم,0.496,حزن
تشاؤم,0.429,حزن
يدوس,0.33,حزن
فقير,0.462,حزن
ضعيف,0.396,حزن
مسكين نفسك,0.363,حزن
فقير,0.363,حزن
الفقر,0.396,حزن
تعفن,0.297,حزن
قلق,0.462,حزن
صحافة,0.264,حزن
تحرم,0.496,حزن
مكسور,0.628,حزن
تقليل,0.099,حزن
الندم,0.595,حزن
خراب,0.43,حزن
انا ضحكت,0.132,حزن
الشعور بالوحدة,0.763,حزن
وحيد,0.83,حزن
تنهد,0.798,حزن
وحده,0.729,حزن
حزين,0.397,حزن
معاناة,0.898,حزن
يعاني,0.898,حزن
خاضع,0.43,حزن
الصمت,0.431,حزن
قليل الكلام,0.464,حزن
الخوف,0.198,حزن
كئيب,0.198,حزن
كآبة,0.132,حزن
داكن,0.132,حزن
كئيب,0.199,حزن
عذاب,0.53,حزن
حزين,0.966,حزن
للأسف,0.966,حزن
الحزن,0.966,حزن
فتات,0.464,حزن
انزعاج,0.297,حزن
نكد,0.396,حزن
مخجل,0.231,حزن
الزنغاريانا ,0.53,حزن
